CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,AvgBalance,AvgSalary,BalanceStandardized
619,France,Female,42,2,0.0,1,1,1,101348.88,1,62092.63651575588,99899.18081372158,-1.2258476714090278
608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,61818.14776342349,99440.57228098506,0.11735002143511059
502,France,Female,42,8,159660.8,3,1,0,113931.57,1,62092.63651575588,99899.18081372158,1.3330533457228904
699,France,Female,39,1,0.0,2,0,0,93826.63,0,62092.63651575588,99899.18081372158,-1.2258476714090278
850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,61818.14776342349,99440.57228098506,0.7857278997960591
645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,61818.14776342349,99440.57228098506,0.5973285944410414
822,France,Male,50,7,0.0,2,1,1,10062.8,0,62092.63651575588,99899.18081372158,-1.2258476714090278
376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,119730.1161339179,101113.43510163411,0.6180189508533646
501,France,Male,44,4,142051.07,2,0,1,74940.5,0,62092.63651575588,99899.18081372158,1.0508202865849028
684,France,Male,27,2,134603.88,1,1,1,71725.73,0,62092.63651575588,99899.18081372158,0.9314633619936777
528,France,Male,31,6,102016.72,2,0,0,80181.12,0,62092.63651575588,99899.18081372158,0.409185402285092
497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,61818.14776342349,99440.57228098506,-1.2258476714090278
476,France,Female,34,10,0.0,2,1,0,26260.98,0,62092.63651575588,99899.18081372158,-1.2258476714090278
549,France,Female,25,5,0.0,2,0,0,190857.79,0,62092.63651575588,99899.18081372158,-1.2258476714090278
635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,61818.14776342349,99440.57228098506,-1.2258476714090278
616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,119730.1161339179,101113.43510163411,1.0681029591182611
653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,119730.1161339179,101113.43510163411,0.8993931172292712
549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,61818.14776342349,99440.57228098506,-1.2258476714090278
587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,61818.14776342349,99440.57228098506,-1.2258476714090278
726,France,Female,24,6,0.0,2,1,1,54724.03,0,62092.63651575588,99899.18081372158,-1.2258476714090278
732,France,Male,41,8,0.0,2,1,1,170886.17,0,62092.63651575588,99899.18081372158,-1.2258476714090278
636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,61818.14776342349,99440.57228098506,-1.2258476714090278
510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,61818.14776342349,99440.57228098506,-1.2258476714090278
669,France,Male,46,3,0.0,2,0,1,8487.75,0,62092.63651575588,99899.18081372158,-1.2258476714090278
846,France,Female,38,5,0.0,1,1,1,187616.16,0,62092.63651575588,99899.18081372158,-1.2258476714090278
577,France,Male,25,3,0.0,2,0,1,124508.29,0,62092.63651575588,99899.18081372158,-1.2258476714090278
756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,119730.1161339179,101113.43510163411,0.9669114802146295
571,France,Male,44,9,0.0,2,0,0,38433.35,0,62092.63651575588,99899.18081372158,-1.2258476714090278
574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,119730.1161339179,101113.43510163411,1.0395750259469725
411,France,Male,29,0,59697.17,2,1,1,53483.21,0,62092.63651575588,99899.18081372158,-0.2690746311079832
591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,61818.14776342349,99440.57228098506,-1.2258476714090278
533,France,Male,36,7,85311.7,1,0,1,156731.91,0,62092.63651575588,99899.18081372158,0.14145222877469335
553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,119730.1161339179,101113.43510163411,0.5389379904752859
520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,61818.14776342349,99440.57228098506,-1.2258476714090278
722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,61818.14776342349,99440.57228098506,-1.2258476714090278
475,France,Female,45,0,134264.04,1,1,0,27822.99,1,62092.63651575588,99899.18081372158,0.9260167093296419
490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,61818.14776342349,99440.57228098506,1.1022538431506914
804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,61818.14776342349,99440.57228098506,0.00100507140589216
850,France,Male,36,7,0.0,1,1,1,40812.9,0,62092.63651575588,99899.18081372158,-1.2258476714090278
582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,119730.1161339179,101113.43510163411,-0.09834889947063385
472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,61818.14776342349,99440.57228098506,-1.2258476714090278
465,France,Female,51,8,122522.32,1,0,0,181297.65,1,62092.63651575588,99899.18081372158,0.7378308850642105
556,France,Female,61,2,117419.35,1,1,1,94153.83,0,62092.63651575588,99899.18081372158,0.6560450295292659
834,France,Female,49,2,131394.56,1,0,0,194365.76,1,62092.63651575588,99899.18081372158,0.8800272410904766
660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,61818.14776342349,99440.57228098506,1.2732771981989726
776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,119730.1161339179,101113.43510163411,0.5278566871606641
829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,119730.1161339179,101113.43510163411,0.5699204753635505
637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,119730.1161339179,101113.43510163411,0.983389912427009
550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,119730.1161339179,101113.43510163411,0.431217227706301
776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,119730.1161339179,101113.43510163411,0.4372729105057929
698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,119730.1161339179,101113.43510163411,0.6391207231492967
585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,119730.1161339179,101113.43510163411,1.1149271191851775
788,France,Female,33,5,0.0,2,0,0,116978.19,0,62092.63651575588,99899.18081372158,-1.2258476714090278
655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,119730.1161339179,101113.43510163411,0.7865476864126004
601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,119730.1161339179,101113.43510163411,0.3527539521024455
619,France,Male,43,1,125211.92,1,1,1,113410.49,0,62092.63651575588,99899.18081372158,0.7809373969674327
656,France,Male,45,5,127864.4,1,1,0,87107.57,0,62092.63651575588,99899.18081372158,0.8234489825909674
725,Germany,Male,19,0,75888.2,1,0,0,45613.75,0,119730.1161339179,101113.43510163411,-0.009579231263980102
511,Spain,Female,66,4,0.0,1,1,0,1643.11,1,61818.14776342349,99440.57228098506,-1.2258476714090278
614,France,Male,51,4,40685.92,1,1,1,46775.28,0,62092.63651575588,99899.18081372158,-0.5737700038102944
742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,119730.1161339179,101113.43510163411,0.9675743614357466
687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,119730.1161339179,101113.43510163411,1.215543865966245
555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,61818.14776342349,99440.57228098506,-0.3269722412061958
684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,61818.14776342349,99440.57228098506,0.03560054743720522
